OID,NDVI_center,Building_Coverage,Weighted_Height,SPEED_M_s_,ALT_M_,NR_TAC,NR_PCI,Base_Central_frequency_point,Base_Electronic_downtilt,Base_Mechanical_downtilt,Base_Power,Match_Dist,DEM_center,True_3D_Dist,Building_Coverage,Match_Angle_sin,Match_Angle_cos,Base_Direction_angle_sin,Base_Direction_angle_cos,NR_BAND_enc,Base_Bandwidth_enc,log_Match_Dist,log_True_3D_Dist,Power_to_Dist_ratio,Match_Dist_bin,SS_RSRP
38,0.642310977,0,0,41.69,389.5,10121472,76,636664,6,2,24,825.7059237,285,828,0.016157131,0.222381872,-0.974959642,-0.64278761,-0.766044443,1,0,6.717449038,6.720220155,0.029066038,7,-84.5
39,0.631227016,0,0,38.63666667,393.3333333,10121472,76,636664,6,2,24,859.1803056,293,861.9466667,0.041273298,-0.197384002,0.98032625,-0.64278761,-0.766044443,1,0,6.757142025,6.760352889,0.027933601,7,-84
40,0.677841008,0.000636656,22.16182568,33.55,393,10121472,533,426000,0,4,3,3020.198513,302,3021.34,0.045134121,0.819006098,-0.573784812,-0.984807753,-0.173648178,0,1,8.01340889,8.013786645,0.000993312,9,-86
41,0.655613005,0.066210314,22.16182568,38.65,387.6666667,10121472,533,426000,0,4,3,2339.743623,310,2340.95,0.045134121,-0.219946318,-0.975511977,-0.984807753,-0.173648178,0,1,7.758223945,7.758739195,0.001282192,9,-85.33333333
42,0.624028981,0,0,41.47333333,383.3333333,10121472,145,636664,6,12,24,1688.726869,311,1690.003333,0.045134121,-0.982538949,-0.186057017,0.573576436,-0.819152044,1,0,7.432322179,7.43307732,0.01421189,9,-83.66666667
43,0.626034021,0,0,39.16,387,10121472,533,426000,0,4,3,2195.15458,308,2196.38,0.02897699,-0.431533969,-0.902096688,-0.984807753,-0.173648178,0,1,7.694463192,7.695021021,0.001366646,9,-83.4
44,0.634248972,0,0,37.46666667,388,10121472,533,426000,0,4,3,2251.45923,305,2252.913333,0.003860823,-0.351052498,-0.936355778,-0.984807753,-0.173648178,0,1,7.719777889,7.720423244,0.001332469,9,-81.66666667
45,0.601912975,0,0,36.10375,387.875,10121472,533,426000,0,4,3,2153.14029,307,2154.6325,0.000358843,-0.48658864,-0.873631213,-0.984807753,-0.173648178,0,1,7.675146986,7.675839463,0.001393314,9,-80.375
46,0.590817988,0,0,35.29428571,390.5714286,10121472,533,426000,0,4,3,2316.980071,314,2318.444286,0.000358843,-0.156872298,-0.987618895,-0.984807753,-0.173648178,0,1,7.748451426,7.749082904,0.001294789,9,-79.28571429
47,0.571250021,0,0,33.0275,387.875,10121472,145,636664,6,12,24,1722.591538,320,1724.20375,0.000358843,-0.958921366,-0.283672019,0.573576436,-0.819152044,1,0,7.452165496,7.453100438,0.013932496,9,-83.875
48,0.604547024,0,0,35.475,386.6,10121472,533,636664,6,4,24,1753.574452,325,1755.128,0.000358843,-0.934684478,-0.355478448,-0.984807753,-0.173648178,1,0,7.469981629,7.470866664,0.013686331,9,-83.8
49,0.619009018,0,0,33.2025,388,10121472,864,636664,6,6,24,2473.547157,331,2475.9425,0.000358843,-0.73572038,-0.677285407,0.64278761,-0.766044443,1,0,7.813812691,7.814780216,0.009702665,9,-89.125
50,0.630810976,0,0,36.22142857,386,10121472,864,636664,6,6,24,2197.57096,338,2199.891429,3.13E-17,-0.943880697,-0.330286587,0.64278761,-0.766044443,1,0,7.695562865,7.696617752,0.010921149,9,-88.42857143
51,0.635254979,0,0,35.63142857,387.8571429,10121472,864,636664,6,6,24,2463.493786,343,2465.712857,0.000434068,-0.648871637,-0.760897889,0.64278761,-0.766044443,1,0,7.809741705,7.810641716,0.009742261,9,-88.14285714
52,0.582714021,0,0,35.48333333,389.3333333,10121472,533,426000,0,4,3,2419.734216,345,2421.243333,0.004714676,0.97132147,-0.237770062,-0.984807753,-0.173648178,0,1,7.791826168,7.792449387,0.001239806,9,-88.66666667
53,0.581727982,0,0,30.1125,388,10121472,889,636664,6,2,24,2238.701331,344,2240.37,0.004714676,0.999837486,-0.018027815,-0.766044443,-0.64278761,1,0,7.714097802,7.714842565,0.010720501,9,-92
54,0.635809004,0.00481878,17.23544168,26.9,387.8333333,10096896,222,426000,13,13,15,6526.961261,343,6527.618333,0.004714676,-0.902254272,-0.431204394,0.5,0.866025404,0,1,8.783849962,8.783950612,0.00229816,9,-78
